Source.IP,Destination.IP,Source.Port,Destination.Port,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Flow.Bytes.s,ProtocolName
192.168.72.43,10.200.7.7,55961,3128,78068,5,0,13782.855971717,HTTP_PROXY
192.168.10.47,10.200.7.6,51848,3128,11002,3,12,354117.433193965,HTTP_CONNECT
68.67.178.197,10.200.7.217,443,57300,108503,10,6,75629.2452743242,SSL
10.200.7.4,192.168.180.51,3128,57740,205118,32,4,46860.8313263585,HTTP_PROXY
10.200.7.9,192.168.180.37,3128,1978,229417,64,13,249728.660038271,HTTP
192.168.32.49,10.200.7.9,54500,3128,10662,4,13,288126.055149128,GOOGLE
10.200.7.9,192.168.32.49,3128,54500,100,2,0,120000.0,HTTP
192.168.180.51,10.200.7.4,57743,3128,313980,7,41,17020.1923689407,HTTP_CONNECT
10.200.7.217,179.1.4.251,37557,443,243047,21,17,42181.1419190527,YOUTUBE
192.168.180.37,10.200.7.9,1980,3128,308270,14,73,233058.682323937,HTTP_CONNECT
10.200.7.196,151.101.64.84,38890,443,201725,6,7,11892.4278101376,SSL
10.200.7.195,104.91.156.236,37458,80,37651,3,3,4488.59260046214,HTTP
179.1.4.231,10.200.7.217,443,56687,1017,2,5,123893.805309735,SSL
179.1.4.210,10.200.7.217,443,51536,1041,2,5,121037.463976945,SSL
10.200.7.195,216.58.202.225,44858,443,346773,8,3,9349.05543395824,YOUTUBE
216.58.202.225,10.200.7.195,443,44857,216013,4,5,15179.6419659928,YOUTUBE
10.200.7.196,213.239.207.69,35706,80,661481,8,6,4876.93524077033,CONTENT_FLASH
10.200.7.195,179.1.4.223,36951,80,40659,3,3,4205.71091271305,GOOGLE
10.200.7.6,192.168.10.47,3128,51850,16,4,0,274125000.0,HTTP
10.200.7.7,192.168.10.17,3128,53320,1128230,43,19,18783.404093137,HTTP_PROXY
216.58.212.195,10.200.7.217,443,38493,1129776,22,29,9879.83458667913,GOOGLE
172.217.29.69,10.200.7.217,443,36878,1067242,18,15,2730.40228926523,GOOGLE
216.58.202.234,10.200.7.217,443,36488,1039966,26,25,11506.1453932148,GOOGLE
10.200.7.199,50.97.172.202,52427,443,1063818,10,5,6483.25183443033,SSL
10.200.7.199,104.91.156.236,60947,80,15006,3,3,10928.9617486339,HTTP
10.200.7.217,179.1.4.244,53283,443,15112,2,1,6087.87718369508,SSL
10.200.7.199,179.1.4.237,39146,80,7926,3,3,20943.7294978552,GOOGLE
192.168.220.177,10.200.7.6,63598,3128,1480850,7,22,2805.82098119323,GOOGLE
10.200.7.196,107.178.247.57,51900,443,1468855,15,13,917.040824315538,SSL
10.200.7.6,192.168.220.177,3128,63592,15,2,0,800000.0,HTTP
192.168.180.29,10.200.7.7,56064,3128,1221637,13,28,1558.56445081477,HTTP_CONNECT
10.200.7.7,192.168.180.29,3128,56064,247,2,0,48582.995951417,HTTP
10.200.1.166,10.200.7.194,443,41229,12,3,0,5166666.66666667,SSL
10.200.7.217,104.91.140.19,56550,443,1,5,0,154000000.0,SSL
10.200.7.217,169.45.141.182,48446,443,1235297,91,116,175483.30482467,SSL
192.168.130.245,10.200.7.7,1759,3128,139136,19,27,205259.602115915,GOOGLE
10.200.7.217,179.1.4.245,37361,443,138632,31,26,169614.519014369,SSL
10.200.7.7,192.168.130.245,3128,1759,166,2,0,72289.156626506,HTTP
10.200.7.196,216.58.222.66,32886,443,1344611,13,17,6419.70056767348,GOOGLE
192.168.90.65,10.200.7.8,53609,3128,65047,6,11,14051.3782341999,HTTP_PROXY
10.200.7.8,192.168.90.65,3128,53609,205,3,0,1600000.0,HTTP
192.168.10.41,10.200.7.9,50410,3128,355658,5,20,16465.2559481299,HTTP_PROXY
10.200.7.9,192.168.10.41,3128,50410,1,2,0,12000000.0,HTTP
192.168.81.7,10.200.7.6,51111,3128,302194,3,4,4371.36409061729,DROPBOX
10.200.7.194,104.91.156.236,53951,80,37444,3,3,4540.11323576541,HTTP
172.217.30.10,10.200.7.217,443,35966,499,2,5,252505.01002004,GOOGLE
10.200.7.194,179.1.4.238,45702,80,44407,3,3,3873.26322426644,GOOGLE
192.168.151.4,10.200.7.5,51444,3128,14276,5,17,639745.0266181,FACEBOOK
10.200.7.217,179.1.4.204,55854,443,2372498,11,8,745.206107655307,YOUTUBE
10.200.7.217,179.1.4.207,53204,443,2372499,9,8,745.205793553548,YOUTUBE
10.200.7.217,179.1.4.231,50136,443,2372498,13,10,835.406394441639,YOUTUBE
179.1.4.223,10.200.7.199,443,47866,1754005,11,10,3425.87392852358,SSL
10.230.1.222,10.200.7.7,50117,3128,69460,9,0,3887.1292830406,HTTP_PROXY
192.168.32.18,10.200.7.5,51340,3128,147210,4,10,1745.80531213912,HTTP_CONNECT
10.200.7.218,65.52.108.33,36123,443,1858006,24,21,16793.8101383957,MICROSOFT
10.200.7.217,69.172.216.55,38534,80,491762,26,33,124387.406916354,HTTP
10.200.7.217,172.217.29.66,36937,443,480627,13,10,4123.77997906901,GOOGLE
10.200.7.217,216.58.222.198,48692,443,489226,13,10,4051.29735541447,GOOGLE
10.200.7.217,68.67.178.170,50409,80,490598,36,41,85102.2629525599,HTTP
10.200.7.5,192.168.32.18,3128,51340,134798,11,0,1713.67527708126,HTTP
192.168.220.174,10.200.7.6,1825,3128,95199,8,37,226514.984401097,GOOGLE
10.200.7.196,179.1.4.210,55938,443,92980,10,8,49429.9849429985,GOOGLE
10.200.7.6,192.168.220.174,3128,1825,27,2,0,444444.444444444,HTTP
10.200.7.217,104.91.131.115,37169,443,118513,23,35,487600.516399045,SSL
10.200.7.199,216.58.202.234,36795,443,2416561,19,15,1380.47415314573,GOOGLE
10.200.7.199,179.1.4.224,48994,443,401809,12,9,6127.28933398704,GOOGLE
10.200.7.199,104.91.150.142,42145,443,2460231,4,4,300.378297810246,SSL
10.230.1.110,10.200.7.5,50303,3128,285509,3,4,5299.30755247645,HTTP_PROXY
68.67.178.170,10.200.7.217,80,50414,1292165,41,37,34847.7168163509,HTTP
192.168.90.100,10.200.7.6,65370,3128,374259,13,54,12021.0870012478,GOOGLE
10.200.7.196,179.1.4.230,37257,443,303351,14,9,6771.0342144908,GOOGLE
10.200.7.6,192.168.90.100,3128,65370,1,2,0,12000000.0,HTTP
10.200.7.196,216.58.202.226,59757,443,816609,7,5,1213.55507960358,GOOGLE
10.200.7.217,69.172.216.111,33993,80,206829,8,8,21897.3161403865,HTTP
10.200.7.199,179.1.4.230,49179,443,911814,8,7,715.058114922561,SSL
192.168.50.5,10.200.7.9,50082,3128,64502,8,8,91981.6439800316,GOOGLE
10.200.7.199,179.1.4.223,53454,443,56043,11,7,55510.946951448,GOOGLE
10.200.7.194,205.185.216.42,48220,443,1346026,6,4,671.606640584952,SSL
10.200.7.195,179.1.4.238,41578,443,3158568,11,9,1609.90676787709,YOUTUBE
10.200.7.195,179.1.4.216,35307,443,463402,25,18,20243.7624352074,GOOGLE
10.200.7.195,216.58.202.226,59339,443,3159382,19,20,2090.91524861508,GOOGLE
10.200.7.195,172.217.29.66,40240,443,2968182,18,14,2035.25255526784,GOOGLE
10.200.7.195,179.1.4.231,49189,443,3183427,4,4,714.952785158887,SSL
10.200.7.199,179.1.4.231,56808,443,3774819,10,9,1489.87275946211,GOOGLE
10.200.7.199,179.1.4.216,43140,443,74846,11,5,19987.7080939529,GOOGLE
179.1.4.217,10.200.7.199,443,34227,4160933,129,133,82036.1683305163,SSL
10.200.7.6,192.168.90.141,3128,54909,774548,77,13,59269.4061568812,HTTP_CONNECT
10.200.7.196,65.52.210.135,40995,443,772215,14,6,9468.8655361525,SSL
10.200.7.199,65.52.210.135,55465,443,1020971,18,12,17863.3869130465,SSL
10.200.7.196,138.197.63.211,39904,80,291107,3,4,3699.6705678668,HTTP
10.200.7.194,104.91.157.235,51450,443,1660753,6,4,433.538280526966,SSL
192.168.90.102,10.200.7.9,55310,3128,143330,6,25,17463.1968185307,GOOGLE
10.200.7.196,74.121.140.178,56767,443,543157,6,7,13533.8401235738,SSL
10.200.7.196,173.239.42.214,43829,80,217143,3,4,4356.57608119995,HTTP
192.168.180.18,10.200.7.4,50166,3128,42044,1,9,6231.56692988298,HTTP_PROXY
10.200.7.9,192.168.32.70,3128,60420,5040225,1239,192,488082.575678665,HTTP_PROXY
10.200.7.195,40.77.226.221,39192,443,1376221,9,5,4587.19929429939,MICROSOFT
192.168.10.27,10.200.7.5,50853,3128,1414676,9,53,21594.3438638953,MICROSOFT
10.200.7.5,192.168.10.27,3128,50853,1,2,0,581000000.0,HTTP
192.168.72.34,10.200.7.7,51329,3128,5066855,24,0,596.819920838469,GOOGLE
10.200.7.217,179.1.4.230,56226,443,5063144,17,22,794.565590076048,GOOGLE
192.168.41.47,10.200.7.6,57628,3128,14474,5,22,1683639.62968081,WINDOWS_UPDATE
10.200.7.6,192.168.41.47,3128,57628,2,2,0,6000000.0,HTTP
213.239.207.69,10.200.7.196,80,35776,648742,5,6,2958.03262313832,CONTENT_FLASH
192.168.10.121,10.200.7.9,57777,3128,354626,5,20,6048.62587627529,HTTP_PROXY
10.200.7.9,192.168.10.121,3128,57777,14,2,0,857142.857142857,HTTP
192.168.112.14,10.200.7.4,55240,3128,1734294,10,13,1538.37815272382,YOUTUBE
10.200.7.194,179.1.4.251,43920,443,1733229,14,11,1748.18215019481,YOUTUBE
91.216.63.240,10.200.7.217,80,39799,5565092,9,5,596.216558504334,HTTP
192.168.10.82,10.200.7.6,50086,3128,738912,11,54,50506.6909185397,YOUTUBE
10.200.7.6,192.168.10.82,3128,50086,16,2,0,750000.0,HTTP
10.200.7.196,63.251.252.12,37323,80,1282719,4,5,2376.20242625236,HTTP
10.200.7.217,91.216.63.240,39837,80,5523856,7,9,449.685871608528,HTTP
192.168.32.35,10.200.7.9,62086,3128,2006302,4,9,176.444024877611,HTTP_PROXY
192.168.10.17,10.200.7.7,53326,3128,2986828,15,30,6191.85302936761,GOOGLE
10.200.7.217,64.233.186.189,47822,443,2976979,21,14,3099.11490809979,GOOGLE
10.200.7.217,172.217.29.65,53525,443,4118401,17,16,2456.77873524215,GOOGLE
10.200.7.217,179.1.4.224,60551,443,4134887,43,38,4176.6558554079,GOOGLE
10.200.7.217,216.58.202.234,52711,443,5345803,29,28,2810.24197861388,GOOGLE
10.200.7.196,40.77.226.221,45939,443,710547,8,6,8859.37172347501,MICROSOFT
192.168.32.73,10.200.7.6,54571,3128,714596,8,46,13872.1739276458,MICROSOFT
10.200.7.6,192.168.32.73,3128,54571,5,2,0,116200000.0,HTTP
10.200.7.194,179.1.4.230,36852,443,160965,11,7,32025.5956263784,GOOGLE
192.168.90.39,10.200.7.6,54685,3128,1617563,4,15,2097.59990800977,HTTP
10.200.7.6,192.168.90.39,3128,54685,37,2,0,324324.324324324,HTTP
10.200.7.196,216.58.222.83,39656,443,1748023,12,13,1713.93625827578,SSL
10.200.7.196,107.178.253.132,46372,443,960386,15,13,6580.68734862857,SSL
10.200.7.217,91.216.63.241,35504,80,5522592,6,7,122.768439167695,HTTP
10.200.7.217,179.1.4.208,56601,443,3530610,274,711,382114.138916505,SSL
10.200.7.217,179.1.4.223,40509,443,14186,1,3,11701.6777104187,SSL
10.200.7.199,179.1.4.217,34249,443,5894237,8,5,349.154606440155,GOOGLE
10.200.7.199,216.58.222.101,35331,443,4755277,49,40,14404.2082091117,GMAIL
10.200.7.196,96.7.7.29,45152,443,182325,10,7,26984.7799259564,SSL
192.168.32.109,10.200.7.4,61096,3128,4154646,18,103,7541.67743774079,GOOGLE
10.200.7.194,172.217.30.10,39765,443,4136832,21,20,1819.26653052384,GOOGLE
10.200.7.4,192.168.32.109,3128,61096,1,2,0,12000000.0,HTTP
10.200.7.196,192.243.250.58,44851,443,1159930,8,8,3632.11573112171,SSL
10.200.7.6,192.168.205.131,3128,54038,4310734,10,12,563.709103832433,HTTP
10.200.7.196,179.1.4.251,45822,443,4310012,17,11,495.590267498095,YOUTUBE
10.200.7.199,179.1.4.244,45423,443,221358,9,6,17595.9305740023,GOOGLE
192.168.90.77,10.200.7.4,57327,3128,45037,3,12,10657.9035015654,HTTP_PROXY
10.200.7.4,192.168.90.77,3128,57327,1,2,0,324000000.0,HTTP
192.168.41.10,10.200.7.7,61342,3128,367428,7,14,5032.27843278139,HTTP_PROXY
10.200.7.7,192.168.41.10,3128,61342,1,2,0,643000000.0,HTTP_PROXY
10.200.7.199,172.217.29.65,45457,443,505447,7,4,2415.68354347736,GOOGLE
10.200.7.6,192.168.32.140,3128,51376,3401599,49,13,1743.00380497525,HTTP
10.200.7.196,179.1.4.217,58576,443,3400272,14,11,887.870146858839,YOUTUBE
179.1.4.244,10.200.7.199,443,45424,545130,15,21,25320.5657366133,SSL
10.200.7.199,179.1.4.245,55666,443,55364,7,5,14847.1931218843,GOOGLE
10.200.7.217,38.90.226.13,48730,80,2016876,12,10,486.891608606578,HTTP
10.200.7.199,179.1.4.238,40441,443,127773,9,5,24629.6165856636,GOOGLE
179.1.4.230,10.200.7.217,443,54541,1,3,0,63000000.0,SSL
192.168.42.77,10.200.7.8,59854,3128,5571274,12,34,700.91688184785,HTTP_CONNECT
162.125.32.5,10.200.7.217,443,48933,27,3,0,2296296.2962963,DROPBOX
64.233.190.189,10.200.7.196,443,55837,2685,5,7,107635.009310987,GOOGLE
179.1.4.230,10.200.7.218,443,33782,651,1,5,96774.1935483871,SSL
10.200.7.217,88.99.56.130,48180,443,611519,12,10,5604.07771467444,SSL
10.200.7.199,151.101.130.2,35132,443,525006,9,3,11418.9171171377,SSL
10.200.7.199,172.217.29.42,34321,443,606701,9,6,2704.79198155269,GOOGLE
10.200.7.195,162.208.22.39,45075,443,5319663,7,6,310.358005760891,SSL
10.200.7.199,151.101.66.2,47587,443,844509,9,3,1992.87396581919,SSL
10.200.7.199,151.101.194.2,52553,443,771490,10,3,2597.57093416635,SSL
10.200.7.194,179.1.4.216,38053,443,985464,10,4,4325.88100630769,GOOGLE
192.168.10.130,10.200.7.6,53844,3128,3375639,9,47,11143.3716697787,YAHOO
192.168.52.26,10.200.7.8,57294,3128,8071031,17,0,394.24950790054,HTTP_PROXY
10.200.7.218,179.1.4.251,59884,443,8070803,13,16,830.64844972675,SSL
68.180.134.8,10.200.7.196,443,36068,4481233,6,8,671.243829544235,SSL
10.200.7.6,192.168.10.130,3128,53840,1,2,0,12000000.0,HTTP
10.200.7.196,68.180.134.8,36069,443,4547818,11,12,4377.04411214345,SSL
10.200.7.195,40.114.54.223,51979,80,4990934,6,4,271.692633082305,MSN
10.200.7.196,179.1.4.224,51545,443,4647789,21,14,1325.57652681737,GOOGLE
10.200.7.217,172.217.30.13,41609,443,2999698,82,54,23070.3224124562,GOOGLE
10.200.7.218,216.58.222.101,33700,443,1587284,17,18,759.788418455676,GOOGLE
192.168.180.18,10.200.7.6,51700,3128,2027385,8,41,13761.5697067898,HTTP_PROXY
10.200.7.6,192.168.180.18,3128,51700,13,2,0,923076.923076923,HTTP_PROXY
192.168.60.16,10.200.7.7,52936,3128,8060465,27,0,905.158697420062,GOOGLE
10.200.7.217,108.177.12.95,59974,443,62617,4,2,21112.4774422281,GOOGLE
10.200.7.196,98.138.49.44,38429,443,860965,7,3,4615.75093064178,YAHOO
10.200.7.196,69.147.92.11,42420,443,369023,10,9,16099.2675253304,YAHOO
162.125.4.3,10.200.7.217,443,55589,34,3,0,1823529.41176471,DROPBOX
10.200.7.8,192.168.42.77,3128,59854,2377114,1,3,10.0962764091247,HTTP
10.200.7.196,172.217.29.66,39485,443,2021337,9,5,702.505321972536,SSL_NO_CERT
192.168.32.62,10.200.7.4,58350,3128,6889772,7,34,368.807559959894,GOOGLE
10.200.7.194,179.1.4.223,58292,443,6883436,7,4,143.968796978718,GOOGLE
10.200.7.196,68.67.178.110,60459,80,10170908,3,5,425.822355290206,HTTP
10.200.7.196,104.91.149.153,40364,443,344280,9,7,18638.8985709306,MICROSOFT
192.168.32.129,10.200.7.5,53992,3128,7158373,17,84,2195.61065063248,HTTP_CONNECT
10.200.7.5,192.168.32.129,3128,53992,18,2,0,666666.666666667,HTTP
10.200.7.195,179.1.4.237,58435,443,1515313,9,8,2271.47790588479,GOOGLE
192.168.130.19,10.200.7.6,50399,3128,13263,1,2,7992.15863680917,HTTP_PROXY
192.168.10.91,10.200.7.4,61469,3128,6245945,6,17,4205.76870273433,SKYPE
10.200.7.217,68.67.178.197,54628,80,10361999,11,13,1566.10708030371,HTTP
10.200.7.199,172.217.29.45,54720,443,3028294,10,6,1883.56876842209,GOOGLE
10.200.7.4,192.168.32.62,3128,58348,1,2,0,12000000.0,HTTP_PROXY
10.200.7.194,179.1.4.210,45009,443,10698605,226,283,36255.0070780256,SSL
10.200.7.194,179.1.4.237,39334,443,7654021,17,12,444.602908719482,GOOGLE
172.217.29.33,10.200.7.194,443,50889,4217753,7,7,412.067752663563,GOOGLE
10.200.7.194,172.217.29.66,58246,443,667568,7,6,969.189655585648,GOOGLE
192.168.60.15,10.200.7.4,49609,3128,400107,5,4,1569.58013731327,HTTP_PROXY
192.168.32.3,10.200.7.8,50686,3128,193873,6,10,11951.122642142,HTTP_PROXY
10.200.7.8,192.168.32.3,3128,50686,1,2,0,815000000.0,HTTP
10.200.7.217,172.217.29.69,37062,443,2276338,30,28,5893.23729604303,GMAIL
10.200.7.217,172.217.29.45,49917,443,4100510,26,25,1799.28838120136,GOOGLE
192.168.42.101,10.200.7.9,60067,3128,1796200,14,47,3474.00066807705,GOOGLE
10.200.7.9,192.168.42.101,3128,60067,133,2,0,90225.5639097744,HTTP
192.168.72.108,10.200.7.5,50265,3128,3933244,13,17,566.962029307106,GOOGLE
10.200.7.195,179.1.4.251,49282,443,3932240,13,10,701.381400931784,SSL
10.200.7.199,179.1.4.251,33065,443,2335063,182,136,91009.1076771805,GOOGLE
192.168.90.65,10.200.7.4,53625,3128,8192076,6,33,248.044573805223,HTTP
10.200.7.4,192.168.90.65,3128,53615,32,2,0,375000.0,HTTP
10.200.7.194,216.58.222.65,39506,443,8714253,6,5,86.1806513994946,YOUTUBE
10.200.7.194,216.58.202.226,58184,443,7809171,15,12,377.376804785041,GOOGLE
10.200.7.194,179.1.4.224,60518,443,8300211,11,9,230.717026350294,GOOGLE
10.200.7.194,179.1.4.244,37938,443,9183977,34,21,2854.31899491909,YOUTUBE
192.168.10.42,10.200.7.7,51343,3128,434752,250,305,1566198.66038569,YOUTUBE
10.200.7.7,192.168.10.42,3128,51343,211,2,0,56872.0379146919,HTTP
